midx,midy,midz,CuT,As,Rec,wi,fminz,i_arci
16820,106980,2200,0,0,0,14.948522,0,1
16860,106980,2200,0,0,0,13.818359,0,1
16900,106980,2200,0,0,0,14.5969,0,1
16940,106980,2200,0,0,0,15.370953,0,1
16980,106980,2200,0,0,0,12.244839,0,2
17020,106980,2200,0,0,0,14.346054,0,0
17060,106980,2200,0,0,0,15.002774,0,0
17100,106980,2200,0,0,0,14.582103,0,0
17140,106980,2200,0,0,0,14.823986,0,0
17180,106980,2200,0,0,0,16.163155,0,0
17220,106980,2200,0,0,0,17.735975,0,0
17260,106980,2200,0,0,0,18.732517,0,0
17300,106980,2200,0,0,0,18.471912,0,0
17340,106980,2200,0,0,0,20.95176,0,0
17380,106980,2200,0,0,0,20.464466,0,0
17420,106980,2200,0,0,0,17.665564,0,0
17460,106980,2200,0,0,0,17.231531,0,0
17500,106980,2200,0,0,0,16.469965,0,0
17540,106980,2200,0,0,0,14.68579,0,0
17580,106980,2200,0,0,0,14.854678,0,0
17620,106980,2200,0,0,0,15.671342,0,0
17660,106980,2200,0,0,0,15.962283,0,0
17700,106980,2200,0,0,0,15.674016,0,0
17740,106980,2200,0,0,0,16.788803,0,0
17780,106980,2200,0,0,0,17.519533,0,0
17820,106980,2200,0,0,0,17.2522,0,0
17860,106980,2200,0,0,0,17.714071,0,0
17900,106980,2200,0,0,0,17.764828,0,0
17940,106980,2200,0,0,0,18.055248,0,0
17980,106980,2200,0,0,0,18.202593,0,0
18020,106980,2200,0,0,0,19.438896,0,0
18060,106980,2200,0,0,0,18.392843,0,0
18100,106980,2200,0,0,0,16.972282,0,0
18140,106980,2200,0,0,0,16.38177,0,0
18180,106980,2200,0,0,0,15.619441,0,0
18220,106980,2200,0,0,0,14.643274,0,0
18260,106980,2200,0,0,0,15.255855,0,0
18300,106980,2200,0,0,0,14.138848,0,0
18340,106980,2200,0,0,0,14.528214,0,0
18380,106980,2200,0,0,0,14.436918,0,0
18420,106980,2200,0,0,0,14.48971,0,0
18460,106980,2200,0,0,0,13.748488,0,0
18500,106980,2200,0,0,0,14.024582,0,0
18540,106980,2200,0,0,0,13.879959,0,0
18580,106980,2200,0,0,0,15.167328,0,0
18620,106980,2200,0,0,0,14.915087,0,0
18660,106980,2200,0,0,0,13.754816,0,0
14700,106980,2220,0,0,0,14.843742,0,0
14740,106980,2220,0,0,0,14.713049,0,0
14780,106980,2220,0,0,0,15.167969,0,0
14820,106980,2220,0,0,0,15.855259,0,0
14860,106980,2220,0,0,0,17.10117,0,0
14900,106980,2220,0,0,0,16.793095,0,0
14940,106980,2220,0,0,0,16.447008,0,0
14980,106980,2220,0,0,0,15.198773,0,0
15020,106980,2220,0,0,0,15.45978,0,0
15060,106980,2220,0,0,0,14.15962,0,0
15100,106980,2220,0,0,0,14.848783,0,0
15140,106980,2220,0,0,0,16.306528,0,0
15180,106980,2220,0,0,0,16.922508,0,0
15220,106980,2220,0,0,0,16.272068,0,0
15260,106980,2220,0,0,0,17.50144,0,0
15300,106980,2220,0,0,0,17.52832,0,0
15340,106980,2220,0,0,0,17.978708,0,0
15380,106980,2220,0,0,0,17.317318,0,0
15420,106980,2220,0,0,0,17.274015,0,0
15460,106980,2220,0,0,0,17.393919,0,0
15500,106980,2220,0,0,0,18.192976,0,0
15540,106980,2220,0,0,0,16.610996,0,0
15580,106980,2220,0,0,0,15.549588,0,0
15620,106980,2220,0,0,0,15.736474,0,0
15660,106980,2220,0,0,0,16.124786,0,0
15700,106980,2220,0,0,0,16.33942,0,0
15740,106980,2220,0,0,0,15.485434,0,0
15780,106980,2220,0,0,0,16.700005,0,0
15820,106980,2220,0,0,0,16.824474,0,0
15860,106980,2220,0,0,0,15.995146,0,0
15900,106980,2220,0,0,0,16.11177,0,0
15940,106980,2220,0,0,0,15.276852,0,0
15980,106980,2220,0,0,0,14.492819,0,0
16020,106980,2220,0,0,0,14.291469,0,0
16060,106980,2220,0,0,0,15.612086,0,0
16100,106980,2220,0,0,0,16.335796,0,0
16140,106980,2220,0,0,0,15.119503,0,0
16180,106980,2220,0,0,0,14.410195,0,0
16220,106980,2220,0,0,0,14.03981,0,0
16260,106980,2220,0,0,0,14.44068,0,0
16300,106980,2220,0,0,0,14.461399,0,0
16340,106980,2220,0,0,0,16.01131,0,0
16380,106980,2220,0,0,0,15.372061,0,0
16420,106980,2220,0,0,0,15.480723,0,0
16460,106980,2220,0,0,0,16.440336,0,0
16500,106980,2220,0,0,0,17.090263,0,0
16540,106980,2220,0,0,0,14.053727,0,1
16580,106980,2220,0,0,0,13.669304,0,1
16620,106980,2220,0,0,0,14.449321,0,1
16660,106980,2220,0,0,0,14.87448,0,1
16700,106980,2220,0,0,0,16.67756,0,1
16740,106980,2220,0,0,0,15.175956,0,1
16780,106980,2220,0,0,0,15.095786,0,1
16820,106980,2220,0,0,0,14.671199,0,1
16860,106980,2220,0,0,0,13.944025,0,1
16900,106980,2220,0,0,0,14.725881,0,1
16940,106980,2220,0,0,0,15.328328,0,1
16980,106980,2220,0,0,0,14.563765,0,2
